UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,operational_hours,RUL,Vibration (mm/s),Pressure (Pa),Maintenance Required,Temp_Change,Vib_Change,Temperature_Mean,Vibration_Mean,Pressure_Mean,RPM_Mean
1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure,831,4167.779109,0.033610989,0.404078701,1,-2.06E-05,-1.59E-05,0.239310963,-0.399946537,0.494977172,0.6137144
2,M14906,M,298.7,309,1843,25.8,130,0,No Failure,1115,3888.111182,1.230485354,0.441156791,1,-1.124335913,0.630468713,-0.621903726,0.198118643,0.385375921,-0.308169008
3,L47227,L,298.8,309.1,1418,46.3,133,0,No Failure,2822,2181.639753,1.213335199,0.768288835,0,-0.199002566,-0.012131363,-0.464245988,-0.341380655,0.622772057,-0.216719652
4,H29462,H,298.8,309.2,1425,53.9,135,0,No Failure,1183,3819.147489,-0.59358855,-0.722052162,0,0.45556816,-1.276486495,0.129475762,-0.829978408,0.279539996,-0.029202286
5,M14909,M,298.9,309.2,1412,44.1,140,0,No Failure,4201,801.3752467,-1.457742202,-0.116568376,0,0.117924131,-0.610482586,-0.017933408,-0.496936746,0.440133053,-0.18762213
6,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure,506,4495.851627,0.598103413,1.556054517,1,0.504385105,1.45230126,-0.124895518,-0.310551477,0.618791123,0.241912725
7,L47231,L,298.9,309.1,1383,54.9,145,0,No Failure,3176,1826.708036,-1.467011137,1.628137471,1,-0.321482502,-1.458880998,-0.407362154,-0.330945862,0.380217514,0.16755239
8,H29466,H,298.8,309,1497,43.8,147,0,No Failure,1085,3918.549044,-1.229653563,-0.947871472,0,1.342967695,0.167661296,-0.259177007,0.186107969,0.288341026,0.283480614
9,L47233,L,298.7,309,1565,35.1,152,0,No Failure,3703,1299.98042,1.07161976,0.080913122,1,-2.165152213,1.625679493,-0.766984977,0.203799718,0.815561703,-0.011189534
10,L47234,L,298.7,309,1691,30.1,154,0,No Failure,4585,418.845597,-0.525815856,0.776721975,0,0.260949381,-1.128497165,-0.515343528,-0.236063163,0.498761373,0.163857466
11,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure,809,4195.405198,0.496131488,0.363186475,1,-0.116218183,0.721921402,-0.490785756,0.076604345,0.000446229,-0.223185768
12,L47236,L,298.8,309.1,1477,42.4,158,0,No Failure,2718,2287.746191,1.118258014,1.168755031,1,1.201349522,0.439474781,-0.492402224,-0.057516936,-0.173606901,0.039615664
13,L47237,L,298.8,309.1,1513,40.3,160,0,No Failure,4949,55.00828474,-1.141194816,1.688231911,0,-0.976696051,-1.596167973,-0.867332026,-0.183499111,-0.624192419,-0.113261795
14,M14918,M,298.8,309,1661,29.5,162,0,No Failure,1511,3491.87086,-1.127694646,-1.503088526,1,0.520344387,0.009521038,-0.588906168,0.050099894,-1.049062393,-0.112338064
15,L47239,L,298.8,309.1,1378,54.4,165,0,No Failure,4721,281.0723391,1.037521683,-1.714853743,0,-0.542043452,1.529564343,-0.815582742,0.046865538,-0.559968698,-0.125270296
16,L47240,L,298.8,309.1,1393,52.6,167,0,No Failure,1585,3415.928917,-0.174474914,-0.507079176,0,-0.208773175,-0.856210322,-0.848633703,-0.011918105,-0.010631862,-0.173766167
17,M14921,M,298.8,309,1592,38.2,169,0,No Failure,3050,1954.10049,0.488347136,-1.08417256,1,-0.118727446,0.468223443,-0.703730787,-0.033800354,0.225842846,-0.029664151
18,L47242,L,298.8,309,1829,22.9,172,0,No Failure,4751,252.6675945,0.026800209,-0.43611796,0,1.333641356,-0.326067909,-0.212823088,-0.231364598,0.715772205,-0.09247785
19,M14923,M,298.9,309,1812,25.9,174,0,No Failure,3034,1972.706737,-1.143866423,0.942379948,0,-1.265753318,-0.82701347,-0.59914802,-0.152723413,0.964673807,-0.05506675
20,L47244,L,299,309.1,1523,38.6,177,0,No Failure,4214,791.9912894,0.743603467,1.031830441,0,0.142637996,1.333355092,-0.115739931,0.253770743,0.907055856,-0.119727911
21,L47245,L,299,309.1,1394,45.1,179,0,No Failure,4770,236.3374779,-0.283886161,0.675294362,0,0.420491283,-0.72586851,-0.185156046,0.178705885,0.638961755,0.38001049
22,M14926,M,298.9,308.9,1679,28.7,181,0,No Failure,1103,3907.142987,-0.499474083,1.365474236,0,1.104783493,-0.152314351,0.234677687,0.266877639,0.810646376,0.0137512
23,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure,2566,2442.112906,0.420006135,0.808390048,0,-1.768349627,0.649535242,-0.008726495,0.462493159,0.233421254,-0.436567599
24,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure,2566,2440.796223,0.888604359,0.654290192,0,1.809718217,0.331017322,0.598958254,0.325227982,-0.256251214,-0.24627904
25,L47249,L,298.9,309,1410,65.7,191,1,Power Failure,2038,2968.168624,0.368279177,-0.308640059,1,-1.812209135,-0.367590807,0.437929023,-0.143856363,-0.432088282,0.085340342
26,M14930,M,298.9,309,1924,22.6,193,0,No Failure,2039,2965.888751,0.156972609,1.533717462,1,2.150532503,-0.149289861,0.88223904,0.073857636,-0.450689423,0.16247187
27,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure,1735,3266.637543,0.478603517,-1.520651374,0,-1.240498653,0.227194759,0.234754986,-0.272388314,-0.975708777,0.598934706
28,L47252,L,298.9,309.1,1369,44.4,198,0,No Failure,1798,3203.50789,-0.266319751,-1.639972289,1,1.241194357,-0.526254308,0.106370458,-0.28268897,-0.507538136,0.995215249
29,L47253,L,299,309.1,1592,35,200,0,No Failure,4627,374.0289225,-1.456817366,-0.224895149,1,-0.908538887,-0.841022731,-0.485359655,-0.070690265,-0.52211334,0.616485592
30,L47254,L,298.9,309,1601,32.3,202,0,No Failure,2191,2812.270053,1.456849172,-0.401645763,1,0.328336963,2.05829427,-0.698618819,-0.10759142,-0.250713548,0.55598122
31,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure,1995,3008.25798,-1.574257141,-1.091379309,0,-1.710171303,-2.141289458,-1.127296102,-0.320945722,-0.511778905,0.216510126
32,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure,4340,664.1117433,0.427100238,0.820201832,1,0.595094312,1.413808973,-0.934699257,-0.077395081,0.030575509,0.059937743
33,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,3498,1505.634981,0.793673774,-1.71284831,1,-0.397246545,0.258943715,-0.843887076,-0.073980666,-0.019488644,0.16247187
34,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,2223,2777.217298,-0.457353568,-0.390568461,1,1.53470236,-1.306029782,0.846972808,0.592448217,0.326370975,0.111666672
35,L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,698,4298.892766,1.303154829,0.213229879,0,-0.595787451,1.243665303,0.956380796,0.431916628,0.346848073,-0.005647149
36,L47342,L,298.3,308.1,1586,35.5,0,0,No Failure,3441,1555.625521,1.708284756,-0.167714303,1,0.655904956,0.286181222,0.651157689,0.181719972,0.353206784,0.096425113
37,M15023,M,298.4,308.2,1468,43.8,2,0,No Failure,324,4673.951453,0.215081041,0.587607899,1,0.352541934,-1.05486431,0.401028045,0.140575228,0.607630388,0.414188532
38,M15024,M,298.5,308.3,1440,43.6,5,0,No Failure,940,4054.384966,0.193074026,1.389299862,0,0.266585511,-0.015562409,0.306806172,-0.121030607,0.335125232,0.763358801
39,L47345,L,298.5,308.4,1733,26,8,0,No Failure,1914,3078.547526,-1.260011513,-0.288182971,0,-0.29246904,-1.026523506,-0.248536696,-0.27753161,0.142218918,0.676066234
40,H29580,H,298.4,308.2,1612,32.6,10,0,No Failure,4909,82.15205091,0.05217155,0.245023434,1,-2.061968566,0.926953492,-0.479799552,0.287588885,0.408196614,0.545358315
41,H29581,H,298.4,308.3,1458,42.9,15,0,No Failure,1206,3783.948927,1.502561035,1.104403718,1,0.850721494,1.024587069,-0.450354196,0.260845245,0.468599673,0.42250211
