UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,operational_hours,RUL,Vibration (mm/s),Pressure (Pa),Maintenance Required,Temp_Change,Vib_Change,Temperature_Mean,Vibration_Mean,Pressure_Mean,RPM_Mean,Anomaly
1,297.3,308.3,1459,59.6,207,1,4231,745.6616102,-0.495355974701207,1.22675696510076,1,-0.958181903047707,-1.35902541499686,0.216280627333263,0.349231826706502,0.490230734775744,0.62618476652226,1
2,301.1,311.3,1498,37.6,11,0,440,4529.506118,-0.765091720906337,0.566438273384951,1,0.126182682475683,-1.31675634664245,-0.022593593016153,0.0385044704264232,0.132819073836746,-0.248126501897791,1
3,300.8,310.7,1339,59.1,203,1,944,4019.410836,0.883543101062736,-1.08523959194135,0,-0.954948685770787,-0.0864240602839455,-0.835960897022124,0.0480532103818892,-0.205369140654863,-0.468898179818966,1
4,301.4,310.8,1285,62.6,183,1,4576,389.3621278,1.63959526753365,-0.944613109165189,0,-1.23026574985175,0.206654331030459,-0.856194869112902,0.27919509522965,-0.258805967568592,-0.007032744837429,1
5,303.3,311.3,1350,48.1,32,1,3362,1639.657411,0.697169932434203,-1.60300792631815,0,0.0225226339062996,1.46671876419321,0.595473977358559,0.236426087756746,0.0120312235176404,-0.409779404141329,1
6,299.5,310.9,1496,38.5,162,0,1281,3647.168782,-1.52411202507113,-1.36636285780614,0,1.60252816671912,-1.25869387199982,-0.037301292752567,-0.354013490534117,-0.519838451261215,0.260849207451863,1
7,302.8,310.9,1312,52.2,40,1,4569,352.2173676,-1.30510021555365,-0.690433159404387,0,-2.02433288720935,-1.45758140858566,-0.556273574419761,-0.431078786199825,-0.75238755429821,-0.48506347004332,1
8,302.7,312.2,1376,52.8,164,0,1001,3925.925573,-1.2062559827846,-1.04191640205778,0,0.60204416215703,-0.671419631304047,0.369803810674329,-0.318443869877963,-0.311680665341799,0.418345320780566,1
9,300.5,310.6,1950,20.3,208,0,1173,3829.181907,0.484390803287303,-0.862085773194196,0,-2.16206755648113,1.18574781481291,-0.277927913549547,0.135751715428329,0.283046485267716,-0.629627351192541,1
10,303.4,312.7,1594,32.8,79,0,2942,2022.860753,0.801817304949554,-1.00993636205151,1,-1.91205392917564,1.1728214120018,-0.600422654282836,-0.59835903900398,-0.815900093142285,-0.13358387402237,1
11,302.7,310.5,1520,39.3,73,0,3186,1724.218688,1.15078531841342,-0.0834128331488972,1,1.11268400426276,0.868032815464428,-0.590457257374252,0.355842251604776,0.108844692315758,-0.156677145771447,1
12,296.9,307.4,1521,37.9,27,0,3275,1705.955703,-0.32886551900999,-0.561947586559672,0,-0.859881397870233,0.877620422550526,0.117271060199852,-0.38571396509389,0.283948719477795,0.0705606482394689,1
13,302.2,310.6,1334,53.2,159,1,3834,1146.091801,-1.23621333124638,1.44713081635737,0,-0.0081639012839086,-1.49019336284875,-0.348250291139757,0.0550799967559326,0.34891657646794,1.07373237301936,1
14,303.4,312.2,1580,35.8,90,0,2576,2347.864932,-0.331493263377349,0.127928481573873,1,-0.91226301737432,-0.0732417439074443,-0.865262822189114,0.0627443813939167,0.577883648956275,0.328281560959167,1
15,303.7,312.7,1359,56.8,194,1,4775,216.7669037,0.0997920650489857,0.215122276459144,1,1.32020921660958,-0.407916771497262,0.76209281374493,0.671240414834574,-0.338084324391926,0.358302814232967,1
16,298.2,307.9,1313,67.3,67,1,4825,160.7122358,-1.28866482122321,0.171774464176288,1,-1.57513776660722,-1.11425639648661,0.0186189561572102,-0.27937755699248,0.28587195982692,-0.601453559658668,1
17,302.3,310.9,1379,49.3,34,1,4579,408.8522017,1.10165640916382,1.44818393782654,0,1.6254561425749,1.37620900062466,0.351085715615454,0.0975136838980895,0.369369019793231,-0.582517076824424,1
